08/20/2025 06:58:43 P,CHAR LENGHT,ID,VISIBILITY,"DATE 
ADDED",SKU,NAME,ADDITIONAL NOTES,APPLICATION NOTES,PART NUMBER,PRODUCT CATEGORY,TYPE,(OLD UPC),GTIN,YEAR,PRIMARY OEM,"Additional 
OEM#",Catalog Group,MANUFACTURER,MAKE 1,ENGINE 1,ENGINE 1,ENGINE 1,ENGINE 1,ENGINE 1,ENGINE 1,ENGINE 1,Condition,IS REMAN?,ASSOCIATED CORE,CORE TYPE,JUMPFLY CATEGORY,VENDOR,VENDOR PART NUMBER,NEW QB,QB ACCOUNT,WARRANTY, PRICE , Drive On Diesel Price , VENDOR COST , ACTUAL COST , EST COST ,PROFIT,PROFIT  %,WEIGHT,"CHARGE CORE
UPFRONT",HAS CORE, CORE PRICE ,"GROUP 
NUMBER",ADF,PRICE,Non Stocking Distributor, PRICE ,Stocking Distributor, PRICE ,Non Stocking WD, PRICE ,Stocking WD, PRICE ,10%, PRICE ,15%, PRICE 
08/28/2024 08:23:57 P,,3775,Both,10/24/2018,TX4025319RM,"Cummins ISC, 8.3L, 8.9L Accumulator Module 2003-2007: OEM 4025319RX","Used with CPL Numbers: 2092, 2229, 2230, 2231, 2232, 2233 2234, 2235, 2236, 2237, 2240, 2429 2430, 2431 Note: This pump is supplied with the latest style pressure and temperature sensors. If your pump has only one sensor, you will need to order an updated wiring harness, Part# 142-075-0006",,TX4025319RM,Fuel Pumps,Accumulator Module,086547485043,00840490503908,2003-2007,4025319RX,,C3,Tamerx Diesel Products,Cummins,ISC,8.3L,8.9L,,,,,,Yes,"TX4025319RM#C, TX4025319RM-C30",Critical R & R,Modules,Tamerx,,Diesel Pumps,Diesel Pumps,One Million Miles or One Year," $ 1,800.00 "," $ 1,800.00 ",, $ 800.00 , $ 800.00 ,"$1,000.00",55.56%,35,YES,YES, $ 500.00 ,,FIXED PRICE,"$1,350.00",0%," $ 1,800.00 ",15.00%," $ 1,530.00 ",15.00%," $ 1,530.00 ",25.00%," $ 1,350.00 ",10.00%," $ 1,620.00 ",15.00%," $ 1,530.00 "
10/21/2024 11:41:41 A,,6234,Both,8/19/2022,23185531RM,"Volvo D11, D13 AHI Module 2010-2018: OEM 23185531",,,23185531RM,Aftertreatment,AHI Module,086547496049,00840490510470,2010-2018,23185531,,,Tamerx Diesel Products,Volvo,D11,D13,,,,,,,Yes,"23185531RM#C, 23185531RM-C30",In House Core,Modules,Tamerx,23185531RM,Modules/Sensors,Modules/Sensors,One Million Miles or One Year, $ 280.00 , $ 280.00 ,, $ 200.00 , $ 200.00 ,$80.00,28.57%,2,NO,YES, $ 200.00 ,,FIXED PRICE,$467.50,0%, $ 280.00 ,15.00%, $ 238.00 ,25.00%, $ 210.00 ,25.00%, $ 210.00 ,10.00%, $ 252.00 ,15.00%, $ 238.00 
03/08/2023 03:30:18 A,,7302,Both,1/4/2023,23185531RM-2,"Mack MP7, MP8 AHI Module 2010-2018: OEM 23185531",,,23185531RM-2,Aftertreatment,AHI Module,86547500821,00840490514744,2010-2018,23185531,,,Tamerx Diesel Products,Mack,MP7,MP8,,,,,,,Yes,"23185531RM-2#C, 23185531RM-2-C30",In House Core,Modules,Tamerx,23185531RM,Modules/Sensors,Modules/Sensors,One Million Miles or One Year, $ 280.00 , $ 280.00 ,, $ 200.00 , $ 200.00 ,$80.00,28.57%,2,NO,YES, $ 200.00 ,,FIXED PRICE,$238.00,0%, $ 280.00 ,15.00%, $ 238.00 ,15.00%, $ 238.00 ,25.00%, $ 210.00 ,10.00%, $ 252.00 ,15.00%, $ 238.00 
,,7957,Both,5/4/2023,23893349RM,Volvo D13 AHI Module 2018-2021: OEM 23893349,,,23893349RM,Aftertreatment,AHI Module,,00840490516991,2018-2021,23893349,23099630,VM2,Tamerx Diesel Products,Volvo,D13,,,,,,,,Yes,"23893349RM#C, 23893349RM-C30",In House Core,Modules,Tamerx,,Engine Parts/Other,Engine Parts/Other,One Million Miles or One Year, $ 474.00 , $ 474.00 , $ 300.00 , $ 300.00 , $ 300.00 ,$174.00,36.71%,2,NO,YES, $ 250.00 ,,FIXED PRICE,$402.90,0%, $ 474.00 ,15.00%, $ 402.90 ,15.00%, $ 402.90 ,25.00%, $ 355.50 ,10.00%, $ 426.60 ,15.00%, $ 402.90 
,,7960,Both,5/4/2023,23893349RM-2,Mack MP8 AHI Module 2018-2021: OEM 23893349,,,23893349RM-2,Aftertreatment,AHI Module,,00840490517004,2018-2021,23893349,23099630,,Tamerx Diesel Products,Mack,MP8,,,,,,,,Yes,"23893349RM-2#C, 23893349RM-2-C30",In House Core,Modules,Tamerx,,Engine Parts/Other,Engine Parts/Other,One Million Miles or One Year, $ 474.00 , $ 474.00 , $ 300.00 , $ 300.00 , $ 300.00 ,$174.00,36.71%,2,NO,YES, $ 250.00 ,,FIXED PRICE,$402.90,0%, $ 474.00 ,15.00%, $ 402.90 ,15.00%, $ 402.90 ,25.00%, $ 355.50 ,10.00%, $ 426.60 ,15.00%, $ 402.90 
08/20/2025 08:42:35 P,,3720,Both,6/20/2018,3015646C92,"International Navistar N13, MaxxForce 13 Air Valve 2011-2015: OEM 3015646C92",,,3015646C92,Engine Components,Air Valve,086547484824,00840490503618,2011-2015,"3015646C92, 5011485R92",5011485R91,N3,Navistar,International Navistar,N13,MaxxForce 13,,,,,,,Yes,"3015646C92#C, 3015646C92-C30",In House Core,Others,Tamerx,,Engine Parts/Other,Engine Parts/Other,One Million Miles or One Year," $ 1,595.00 "," $ 1,595.00 "," $ 1,025.00 "," $ 1,025.00 "," $ 1,025.00 ",$570.00,35.74%,10,NO,YES, $ 250.00 ,,FIXED PRICE,"$1,015.75",0%," $ 1,595.00 ",15.00%," $ 1,355.75 ",15.00%," $ 1,355.75 ",30.00%," $ 1,116.50 ",10.00%," $ 1,435.50 ",15.00%," $ 1,355.75 "
08/20/2025 09:00:54 P,,6974,Both,12/20/2022,3770742RM,"Cummins ISX, ISM Air Valve 2003-2006: OEM 3770742",Turbo Air Control,,3770742RM,Engine Components,Air Valve,86547499361,00840490513266,2003-2006,3770742,,C6,Tamerx Diesel Products,Cummins,ISX,ISM,,,,,,Remanufactured,Yes,"3770742RM#C, 3770742RM-C30",Vendor Return,Others,Tamerx,599-5001,Engine Parts/Other,Engine Parts/Other,One Million Miles or One Year," $ 1,595.00 "," $ 1,595.00 ", $ 492.00 , $ 492.00 , $ 492.00 ,"$1,103.00",69.15%,6,NO,YES, $ 400.00 ,,FIXED PRICE,"$1,355.75",0%," $ 1,595.00 ",15.00%," $ 1,355.75 ",20.00%," $ 1,276.00 ",20.00%," $ 1,276.00 ",10.00%," $ 1,435.50 ",15.00%," $ 1,355.75 "
12/20/2024 09:16:19 P,,8063,Both,5/24/2023,2256384RM,Paccar MX13 Back Pressure Valve 2013-2017: OEM 2256384PE,Note: coolant lines are bolted,,2256384RM,Engine Components,Back Pressure Valve,,00840490517431,2013-2017,2256384PE,"2128860, 195320, 2021937, 2116630, 2128860, 2187592, 2256384, 2123995, 2104977, 1952320",P1,Tamerx Diesel Products,Paccar,MX13,,,,,,,,Yes,"2256384RM#C, 2256384RM-C30",Market Core,EGR Valves,Tamerx,2256384,Engine Parts/Other,Engine Parts/Other,One Million Miles or One Year," $ 2,370.00 "," $ 2,370.00 ", $ 750.00 , $ 750.00 , $ 750.00 ,"$1,620.00",68.35%,18,NO,YES, $ 500.00 ,,FIXED PRICE,"$2,014.50",0%," $ 2,370.00 ",15.00%," $ 2,014.50 ",15.00%," $ 2,014.50 ",20.00%," $ 1,896.00 ",10.00%," $ 2,133.00 ",15.00%," $ 2,014.50 "
09/19/2024 08:19:15 P,,10966,Both,4/8/2024,2256384RM-P,Paccar MX13 Back Pressure Valve 2013-2015: OEM 2256384PE,Note: Coolant lines push lock,,2256384RM-P,Engine Components,Back Pressure Valve,,00840490527492,2013-2015,2256384PE,"1900019, 1916693, 1953490, 1960472,",P1,Tamerx Diesel Products,Paccar,MX13,,,,,,,Remanufactured,Yes,"2256384RM-P#C, 2256384RM-P-C30",In House Core,Others,Tamerx,2256384,Engine Parts/Other,Engine Parts/Other,One Million Miles or One Year," $ 2,350.00 "," $ 2,350.00 ", $ 600.00 , $ 600.00 , $ 600.00 ,"$1,750.00",74.47%,12,NO,YES, $ 500.00 ,,FIXED PRICE,"$1,997.50",0%," $ 2,350.00 ",15.00%," $ 1,997.50 ",15.00%," $ 1,997.50 ",20.00%," $ 1,880.00 ",10.00%," $ 2,115.00 ",15.00%," $ 1,997.50 "
09/29/2025 01:42:11 P,,15327,Both,9/23/2025,1840165RM,Paccar MX13 Back Pressure Valve 2010-2013: OEM 1840165PE,,EPA10,1840165RM,EGR Coolers / Valves,Back Pressure Valve,00840490543126,00840490543126,2010-2013,1840165PE,,,Tamerx Diesel Products,Paccar,MX13,,,,,,,Remanufactured,Yes,"1840165RM#C, 1840165RM-C30",In House Core,Others,Tamerx,1840165PE,Engine Parts/Other,Engine Parts/Other,One Million Miles or One Year," $ 1,895.00 "," $ 1,895.00 ", $ 850.00 , $ 850.00 , $ 850.00 ,"$1,045.00",55.15%,22,NO,YES, $ 500.00 ,,,,0%," $ 1,895.00 ",15.00%," $ 1,610.75 ",0%," $ 1,895.00 ",25.00%," $ 1,421.25 ",10.00%," $ 1,705.50 ",15.00%," $ 1,610.75 "
